videoId,total_comments,genz_pct,millennial_pct,interest_pct,other_pct,top_interest
0,526,32.69961977186312,33.460076045627375,33.840304182509506,0.0,InterestDriven
1,1,0.0,0.0,100.0,0.0,InterestDriven
2,1,100.0,0.0,0.0,0.0,GenZ
6,5,80.0,20.0,0.0,0.0,GenZ
7,1,0.0,0.0,100.0,0.0,InterestDriven
8,26,0.0,76.92307692307693,23.076923076923077,0.0,Millennial
11,483,57.971014492753625,26.08695652173913,15.942028985507244,0.0,GenZ
15,1,0.0,0.0,100.0,0.0,InterestDriven
19,1,0.0,0.0,100.0,0.0,InterestDriven
22,2,100.0,0.0,0.0,0.0,GenZ
25,6,50.0,33.33333333333333,16.666666666666664,0.0,GenZ
26,16,68.75,31.25,0.0,0.0,GenZ
29,4,50.0,0.0,50.0,0.0,GenZ
30,2,100.0,0.0,0.0,0.0,GenZ
33,2643,64.16950435111616,29.24706772606886,6.583427922814983,0.0,GenZ
35,3,0.0,0.0,100.0,0.0,InterestDriven
37,34,20.588235294117645,55.88235294117647,23.52941176470588,0.0,Millennial
42,2,100.0,0.0,0.0,0.0,GenZ
43,1,0.0,0.0,100.0,0.0,InterestDriven
44,38,13.157894736842104,63.1578947368421,23.684210526315788,0.0,Millennial
45,16074,15.310439218613912,54.603707851188254,30.085852930197838,0.0,Millennial
47,1,100.0,0.0,0.0,0.0,GenZ
50,4,0.0,0.0,100.0,0.0,InterestDriven
51,12,16.666666666666664,25.0,58.333333333333336,0.0,InterestDriven
54,107,16.822429906542055,76.63551401869158,6.5420560747663545,0.0,Millennial
55,4,75.0,0.0,25.0,0.0,GenZ
62,5,20.0,20.0,60.0,0.0,InterestDriven
64,11,27.27272727272727,27.27272727272727,45.45454545454545,0.0,InterestDriven
65,1,100.0,0.0,0.0,0.0,GenZ
67,488,17.008196721311474,50.409836065573764,32.58196721311475,0.0,Millennial
68,11,0.0,54.54545454545454,45.45454545454545,0.0,Millennial
69,1,100.0,0.0,0.0,0.0,GenZ
70,3,66.66666666666666,33.33333333333333,0.0,0.0,GenZ
73,2,100.0,0.0,0.0,0.0,GenZ
74,81,49.382716049382715,32.098765432098766,18.51851851851852,0.0,GenZ
75,4,100.0,0.0,0.0,0.0,GenZ
77,2,0.0,50.0,50.0,0.0,InterestDriven
78,1,0.0,0.0,100.0,0.0,InterestDriven
83,12,16.666666666666664,50.0,33.33333333333333,0.0,Millennial
84,59,10.16949152542373,50.847457627118644,38.983050847457626,0.0,Millennial
86,2,50.0,0.0,50.0,0.0,GenZ
87,2,100.0,0.0,0.0,0.0,GenZ
88,5,20.0,80.0,0.0,0.0,Millennial
90,5,0.0,60.0,40.0,0.0,Millennial
93,1,0.0,0.0,100.0,0.0,InterestDriven
94,64,18.75,42.1875,39.0625,0.0,Millennial
98,105,9.523809523809524,31.428571428571427,59.04761904761905,0.0,InterestDriven
99,2,0.0,100.0,0.0,0.0,Millennial
100,12,16.666666666666664,41.66666666666667,41.66666666666667,0.0,InterestDriven
101,3,33.33333333333333,66.66666666666666,0.0,0.0,Millennial
